perception_trigger_date,annotation_layer_name,data_set_name,kilometers_perceived,total_dataset_kilometers,perceived_object_types,triggered_by
12/10/2023 21:37,Dec 8[Demo],Eagle Sydney [Demo],8784.5,"{BOLLARD,FIRE_HYDRANT,GENERIC_SIGNFACE,LAMP,LIGHT_POLE,MANHOLE,Point,POLE_MOUNT_XFORMER,SIGN_MAST,STOP_SIGN,TRAFFIC_LIGHT,TRAFFIC_PEDX_LIGHT,UTIL_CABINET,UTILITY_POLE,UTIL_PEDESTAL}",mmong@mach9.io,mmong@mach9.io
1/16/2024 20:54,Perception Request Tue Jan 16 2024[Demo],Newboro_TrkD_Demo,910.5,"{BOLLARD,FIRE_HYDRANT,GENERIC_SIGNFACE,LAMP,LIGHT_POLE,MAILBOX,MANHOLE,METER,Point,POLE_MOUNT_XFORMER,SIGN_MAST,STOP_SIGN,TREE_TRUNK,UTILITY_POLE,UTIL_PEDESTAL}",mmong@mach9.io,mmong@mach9.io
1/25/2024 4:24,Perception Request Wed Jan 24 2024,2023-NOV-30_Kintore_TrkC,1933.8,"{BOLLARD,GENERIC_SIGNFACE,LAMP,POLE_MOUNT_XFORMER,SIGN_MAST,STOP_SIGN,UTILITY_POLE,UTIL_PEDESTAL}",mmong@mach9.io,mmong@mach9.io
1/25/2024 4:24,Perception Request Wed Jan 24 2024,2023-NOV-30_Kintore_TrkB,1403.3,"{BOLLARD,GENERIC_SIGNFACE,LAMP,MAILBOX,POLE_MOUNT_XFORMER,SIGN_MAST,TREE_TRUNK,UTILITY_POLE,UTIL_PEDESTAL}",mmong@mach9.io,mmong@mach9.io
1/25/2024 4:25,Perception Request Wed Jan 24 2024,2023-NOV-30_Kintore_TrkJ,125.1,"{BOLLARD,GENERIC_SIGNFACE,LAMP,POLE_MOUNT_XFORMER,SIGN_MAST,STOP_SIGN,UTILITY_POLE}",mmong@mach9.io,mmong@mach9.io
1/25/2024 4:25,Perception Request Wed Jan 24 2024,2023-NOV-30_Kintore_TrkT,125.1,"{BOLLARD,GENERIC_SIGNFACE,LAMP,Point,POLE_MOUNT_XFORMER,SIGN_MAST,STOP_SIGN,UTILITY_POLE,UTIL_PEDESTAL}",mmong@mach9.io,mmong@mach9.io
1/25/2024 4:26,Perception Request Wed Jan 24 2024,2023-NOV-30_Kintore_TrkF,824.8,"{BOLLARD,GENERIC_SIGNFACE,POLE_MOUNT_XFORMER,SIGN_MAST,STOP_SIGN,UTILITY_POLE}",mmong@mach9.io,mmong@mach9.io
1/25/2024 4:26,Perception Request Wed Jan 24 2024,2023-NOV-30_Kintore_TrkO,620.6,"{BOLLARD,GENERIC_SIGNFACE,LAMP,LIGHT_POLE,MAILBOX,Point,POLE_MOUNT_XFORMER,SIGN_MAST,STOP_SIGN,UTILITY_POLE,UTIL_PEDESTAL}",mmong@mach9.io,mmong@mach9.io
1/25/2024 4:26,Perception Request Wed Jan 24 2024,2023-NOV-30_Kintore_TrkQ,258.6,"{GENERIC_SIGNFACE,Point,POLE_MOUNT_XFORMER,SIGN_MAST,UTILITY_POLE,UTIL_PEDESTAL}",mmong@mach9.io,mmong@mach9.io
1/25/2024 4:27,Perception Request Wed Jan 24 2024,2023-NOV-30_Kintore_TrkR,359.6,"{BOLLARD,GENERIC_SIGNFACE,LAMP,MAILBOX,MANHOLE,Point,POLE_MOUNT_XFORMER,SIGN_MAST,STOP_SIGN,UTILITY_POLE,UTIL_PEDESTAL}",mmong@mach9.io,mmong@mach9.io
